Species,Diet ( I=0 P=1 B=2),"Farming (yes = 1, no = 0)",SIZE 3state,SIZE 5 state,MaxSizeTL,WaterDepth m,BodyDepth,vulnerability
Abudefduf_abdominalis,0,0,L,XL,30,50,55.6,35.77
Abudefduf_bengalensis,2,0,L,L,17,6,55.5,28.25
Abudefduf_caudobimaculatus,0,0,L,L,0,15,56.6,21
Abudefduf_concolor,2,0,L,L,19,12,54,29.65
Abudefduf_conformis,0,0,M,M,0,12,55.6,28
Abudefduf_declivifrons,2,0,L,XL,22.14,5,55,34.92
Abudefduf_hoefleri,0,0,L,L,20,20,54,30.38
Abudefduf_lorenzi,0,0,L,L,18,6,55.6,29.01
Abudefduf_margariteus,0,0,L,XL,22.19,8,52.6,32.51
Abudefduf_natalensis,2,0,L,L,17,25,57,28.5
Abudefduf_nigrimargo,1,0,M,M,0,15,60,
Abudefduf_notatus,2,0,L,L,17,12,55.6,28.25
Abudefduf_saxatilis,0,0,L,XL,22.9,20,58,32.28
Abudefduf_septemfasciatus,2,0,L,XL,23,3,55.6,32.15
Abudefduf_sexfasciatus,0,0,L,L,19,20,52.6,29.65
Abudefduf_sordidus,2,0,L,XL,24,3,60.6,33.11
Abudefduf_sparoides,1,0,L,L,16,6,57.1,27.47
Abudefduf_taurus,2,0,L,XL,25,5,52.6,33.5
Abudefduf_troschelii,0,0,L,L,20,12,55.6,30.38
Abudefduf_vaigiensis,0,0,L,L,20,15,60.6,15.82
Abudefduf_whitleyi,0,0,L,L,19.34,5,55.6,30.38
Acanthochromis_polyacanthus,0,0,M,M,14,65,55.6,25.07
Altrichthys_alelia,0,0,S,S,7.5,10,58,25
Altrichthys_azurelineatus,0,0,S,S,9.29,10,57.1,16.21
Altrichthys_curatus,1,0,S,XS,6.5,10,52,13.37
Amblyglyphidodon_aureus,1,0,M,M,13,45,62.5,24.47
Amblyglyphidodon_batunai,0,0,S,S,10,12,52,20.93
Amblyglyphidodon_curacao,0,0,M,M,11,40,60.1,22.69
Amblyglyphidodon_flavilatus,0,0,S,S,10,20,60.1,20.93
Amblyglyphidodon_flavopurpureus,1,0,M,M,0,30,53,23.88
Amblyglyphidodon_indicus,0,0,M,M,11.2,15,62,21.72
Amblyglyphidodon_leucogaster,1,0,M,M,13,45,60.1,24.47
Amblyglyphidodon_orbicularis,1,0,M,M,11.29,30,66,21.72
Amblyglyphidodon_silolona,1,0,M,M,12.5,12,56,24.15
Amblyglyphidodon_ternatensis,1,0,L,L,14.39,15,58.8,24.92
Amblypomacentrus_breviceps,1,0,S,S,8.5,35,45.4,17.13
Amblypomacentrus_clarus,1,0,S,XS,6,25,39,12.47
Amphiprion_akallopisos,2,0,M,M,13.33,25,43.5,26.28
Amphiprion_akindynos,0,0,M,M,12.99,25,52.6,23.12
Amphiprion_allardi,1,0,L,L,15,30,52.6,26.31
Amphiprion_barberi,1,0,M,M,10.73,10,56,22.42
Amphiprion_bicinctus,1,0,M,M,14,30,54,25.07
Amphiprion_chagosensis,1,0,M,M,11,25,54,22.69
Amphiprion_chrysogaster,1,0,L,L,15,40,50,26.31
Amphiprion_chrysopterus,1,0,L,L,17,40,54,16.48
Amphiprion_clarkii,0,0,L,L,20.49,60,54,31.62
Amphiprion_ephippium,0,0,M,M,14,15,54,25.07
Amphiprion_frenatus,1,0,M,M,14,12,52.6,25.07
Amphiprion_latezonatus,1,0,M,M,14,45,54,25.07
Amphiprion_latifasciatus,1,0,M,M,13,12,55.6,24.47
Amphiprion_leucokranos,1,0,M,M,12,12,46.5,23.46
Amphiprion_mccullochi,1,0,M,M,12,45,54,23.46
Amphiprion_melanopus,1,0,M,M,12,18,55.6,24.65
Amphiprion_nigripes,1,0,M,M,11,25,47.6,22.69
Amphiprion_ocellaris,1,0,M,M,11,15,44.4,22.69
Amphiprion_omanensis,1,0,M,M,14,10,50,25.07
Amphiprion_pacificus,1,0,S,XS,5.96,10,46,12.47
Amphiprion_percula,1,0,M,M,11,15,44.4,22.69
Amphiprion_perideraion,1,0,S,S,10,38,41.7,25.99
Amphiprion_polymnus,1,0,M,M,13,30,44.4,24.47
Amphiprion_rubrocinctus,1,0,M,M,12,8,55.6,23.46
Amphiprion_sandaracinos,1,0,M,M,14,20,43.5,25.07
Amphiprion_sebae,1,0,L,L,16,25,48.7,27.47
Amphiprion_tricinctus,1,0,M,M,12,40,54,30.54
Azurina_hirundo,1,0,L,L,17.14,30,27.4,30.38
Cheiloprion_labiatus,2,0,S,S,7.33,3,55.6,14.62
Chromis_abrupta,1,0,S,S,8.62,22,48,13.37
Chromis_abyssicola,1,0,M,M,0,152,48,27
Chromis_abyssus,1,0,M,M,13.19,150,55,24.65
Chromis_acares,1,0,S,XS,5.43,37,40,10.53
Chromis_agilis,0,0,M,M,10.84,65,55.6,19.23
Chromis_albicauda,1,0,L,L,18.54,70,50,29.99
Chromis_albomaculata,1,0,L,L,19.61,40,55.6,31.62
Chromis_alleni,1,0,S,S,9.22,30,50,16.21
Chromis_alpha,1,0,M,M,11.97,95,52.6,22.08
Chromis_alta,1,0,L,L,16.17,150,50,29.45
Chromis_amboinensis,1,0,S,S,10,70,62.5,20.93
Chromis_analis,1,0,L,L,17,144,54,28.25
Chromis_atrilobata,1,0,M,M,13.4,80,40,24.75
Chromis_atripectoralis,1,0,M,M,12,29,48.8,23.46
Chromis_atripes,1,0,S,S,9,40,54,18.89
Chromis_bami,1,0,S,S,0,45,52,14.62
Chromis_bowesi,1,0,S,S,0,120,67,
Chromis_brevirostris,1,0,S,S,9.21,120,61,16.89
Chromis_cadenati,1,0,L,L,21.51,60,41.7,33.09
Chromis_caudalis,1,0,M,M,11.77,55,57.1,19.23
Chromis_chromis,1,0,L,XL,25,40,43.5,35.46
Chromis_chrysura,1,0,L,L,18.52,45,58.8,16.73
Chromis_cinerascens,1,0,M,M,13,15,48.8,24.47
Chromis_circumaurea,1,0,M,M,13.25,100,58,25.41
Chromis_crusma,1,0,L,L,18.13,30,50,30.38
Chromis_cyanea,1,0,L,L,15,60,37.7,26.31
Chromis_degruyi,1,0,M,M,10.66,120,52,21.55
Chromis_delta,1,0,S,S,7,80,51.3,14.21
Chromis_dimidiata,1,0,S,S,9,36,48.8,18.89
Chromis_dispilus,1,0,L,XL,0,60,43.7,30
Chromis_earina,1,0,S,S,8.96,116,50,16.21
Chromis_enchrysura,1,0,S,S,10,146,42.6,20.93
Chromis_fatuhivae,1,0,S,S,9.43,21,50,15.85
Chromis_fieldi,1,0,S,S,6.95,40,52,12.93
Chromis_flavapicis,1,0,M,M,13.34,25,54.7,25.19
Chromis_flavaxilla,1,0,S,S,7.2,18,45.1,14.62
Chromis_fumea,1,0,M,M,13.07,72,45.4,24.92
Chromis_gunting,1,0,S,S,0,130,47.6,
Chromis_hangganan,1,0,S,S,0,130,50,
Chromis_hanui,1,0,S,S,0,50,55.3,14.62
Chromis_howsoni,1,0,S,S,8,65,48.2,
Chromis_insolata,1,0,L,L,16,100,47.6,27.47
Chromis_iomelas,1,0,S,S,10.18,35,52.6,18.53
Chromis_katoi,1,0,M,M,0,35,50.7,
Chromis_kennensis,1,0,L,L,16,40,46.5,27.47
Chromis_klunzingeri,0,0,S,S,0,20,57.1,16.21
Chromis_lepidolepis,1,0,S,S,9,43,48.8,18.89
Chromis_leucura,1,0,S,S,8.5,119,47.5,15
Chromis_limbata,1,0,L,L,16.24,45,48.8,27.68
Chromis_limbaughi,1,0,M,M,11.3,75,50,22.93
Chromis_lineata,1,0,S,S,7,35,42,14.21
Chromis_margaritifer,0,0,S,S,9,20,51.3,18.89
Chromis_mirationis,1,0,M,M,13.77,208,50,26.28
Chromis_multilineata,1,0,L,L,20,60,37.7,30.38
Chromis_nigrura,1,0,S,XS,6,30,40.8,12.47
Chromis_nitida,1,0,S,S,8.88,25,44.4,17.15
Chromis_notata,1,0,L,L,17,15,47.6,28.25
Chromis_okamurai,1,0,M,M,11.81,175,50,23.88
Chromis_opercularis,0,0,L,L,17,40,45.4,28.25
Chromis_ovalis,1,0,L,L,0,161,46.7,31.62
Chromis_ovatiformes,1,0,S,S,10,40,60.6,20.93
Chromis_pamae,1,0,M,M,0,44,37.3,24
Chromis_pelloura,1,0,M,M,14,50,51.3,25.07
Chromis_pembae,0,0,M,M,13,50,52.6,24.47
Chromis_punctipinnis,1,0,L,XL,34.39,46,40,30.78
Chromis_randalli,1,0,L,L,15,30,41.7,24.73
Chromis_retrofasciata,1,0,S,S,8.85,120,52.6,14.62
Chromis_scotochiloptera,1,0,L,L,16,20,54.4,27.47
Chromis_scotti,1,0,S,S,10,116,52.7,20.93
Chromis_ternatensis,1,0,M,M,10.5,36,54.1,21.88
Chromis_tingting,1,0,M,M,0,86,51.3,
Chromis_vanderbilti,1,0,S,XS,6,20,40,12.47
Chromis_verater,1,0,L,L,19.9,160,51.3,32.51
Chromis_viridis,1,0,S,S,10,20,48.8,20.93
Chromis_weberi,1,0,M,M,13.5,40,45.4,24.75
Chromis_woodsi,1,0,S,S,9.5,175,52.6,20.07
Chromis_xanthochira,1,0,M,M,14,48,47.6,25.07
Chromis_xanthopterygia,1,0,M,M,11.5,20,44.4,23.03
Chromis_xanthura,1,0,L,L,17,40,45.4,28.25
Chromis_yamakawai,1,0,L,L,0,26,44.6,27
Chrysiptera_annulata,0,0,S,S,8,2,48.8,16.21
Chrysiptera_biocellata,2,1,M,M,12.5,5,42.6,19.01
Chrysiptera_brownriggii,2,1,S,S,8,12,41.7,16.21
Chrysiptera_burtjonesi,1,0,S,S,0,12,47.2,
Chrysiptera_caeruleolineata,0,0,S,XS,6,65,40,12.47
Chrysiptera_caesifrons,1,0,S,S,0,8,41.6,
Chrysiptera_chrysocephala,1,0,S,XS,0,10,35.1,12.47
Chrysiptera_cyanea,0,0,S,S,8.5,10,43.5,17.13
Chrysiptera_ellenae,1,0,S,S,0,12,52.6,
Chrysiptera_flavipinnis,0,0,S,S,8,38,41.7,16.21
Chrysiptera_galba,0,0,S,S,9.6,30,37,17.15
Chrysiptera_giti,1,0,S,S,0,20,48.1,10
Chrysiptera_glauca,2,1,M,M,11.5,3,44.4,16.69
Chrysiptera_hemicyanea,1,0,S,S,7,38,48.8,14.21
Chrysiptera_kuiteri,1,0,S,S,7.5,30,45,15.01
Chrysiptera_leucopoma,2,1,S,S,8,12,41.6,15
Chrysiptera_maurinae,1,0,S,S,0,12,50,
Chrysiptera_oxycephala,1,0,S,S,9,16,51.3,18.89
Chrysiptera_papuensis,1,0,S,S,0,25,52.3,
Chrysiptera_parasema,0,0,S,S,7,16,48.8,14.21
Chrysiptera_rapanui,1,0,S,S,0,38,37.2,13.79
Chrysiptera_rex,2,0,S,S,7,20,39.2,14.21
Chrysiptera_rollandi,0,0,S,S,7.5,35,46.5,15.01
Chrysiptera_sinclairi,1,0,S,S,0,15,43.9,12.47
Chrysiptera_springeri,0,0,S,XS,5.5,30,50,11.53
Chrysiptera_starcki,1,0,S,S,8.61,60,42.6,17.15
Chrysiptera_talboti,0,0,S,XS,6,35,44.4,12.47
Chrysiptera_taupou,0,0,S,S,8,10,43.5,16.21
Chrysiptera_traceyi,0,0,S,XS,5.58,40,46.5,11.53
Chrysiptera_tricincta,0,0,S,XS,6,90,44.4,12.47
Chrysiptera_unimaculata,2,1,S,S,10,3,44.4,20.93
Chrysiptera_uswanasi,1,0,S,S,0,15,50,
Dascyllus_abudafur,0,0,S,S,7.74,20,62.5,
Dascyllus_albisella,1,0,M,M,13,50,62.5,24.47
Dascyllus_aruanus,0,0,S,S,10,20,62.5,26.39
Dascyllus_carneus,0,0,S,S,7,40,64.5,14.21
Dascyllus_flavicaudus,1,0,M,M,12,40,66.7,23.46
Dascyllus_marginatus,1,0,S,XS,6,15,69,12.47
Dascyllus_melanurus,0,0,S,S,8,68,64.5,16.21
Dascyllus_reticulatus,0,0,S,S,9,50,64.5,24.77
Dascyllus_strasburgi,1,0,M,M,11.11,15,62.5,23.12
Dascyllus_trimaculatus,0,0,M,M,14,55,66.7,25.07
Dischistodus_chrysopoecilus,2,1,L,L,15,5,49.5,26.31
Dischistodus_fasciatus,2,1,M,M,0,8,46.1,26.92
Dischistodus_melanotus,2,1,L,L,16,12,48.8,27.47
Dischistodus_perspicillatus,2,1,L,L,18,10,45.4,29.01
Dischistodus_prosopotaenia,2,1,L,L,18.5,12,45.4,29.33
Dischistodus_pseudochrysopoecilus,2,1,L,L,18,5,46.5,29.01
Hemiglyphidodon_plagiometopon,2,1,L,L,18,20,52.6,29.01
Hypsypops_rubicundus,2,1,L,XL,36.28,30,54,51.02
Lepidozygus_tapeinosoma,1,0,M,M,10.5,30,34,21.88
Mecaenichthys_immaculatus,2,0,M,M,0,15,52.6,27.68
Microspathodon_bairdii,2,1,L,XL,30.45,8,54,41.82
Microspathodon_chrysurus,2,1,L,L,21,120,54,31.23
Microspathodon_dorsalis,2,1,L,XL,45.46,5,54,46.07
Neoglyphidodon_bonang,2,0,L,L,0,20,60.5,24
Neoglyphidodon_carlsoni,0,0,M,M,12.58,5,50,24.92
Neoglyphidodon_melas,2,0,L,L,18,12,57.1,29.01
Neoglyphidodon_nigroris,2,1,M,M,13,23,54,24.47
Neoglyphidodon_oxyodon,2,0,L,L,15,4,50,26.31
Neoglyphidodon_polyacanthus,0,0,L,L,15.35,30,50,27.68
Neoglyphidodon_thoracotaeniatus,0,0,M,M,13.5,45,55.6,24.75
Neopomacentrus_aktites,1,0,S,S,8.04,10,42.7,
Neopomacentrus_anabatoides,1,0,M,M,10.5,15,40,21.88
Neopomacentrus_aquadulcis,1,0,S,XS,6.5,3,41,13.37
Neopomacentrus_azysron,1,0,S,S,7.5,12,37.7,15.01
Neopomacentrus_bankieri,1,0,S,S,8,12,41.7,16.21
Neopomacentrus_cyanomos,1,0,S,S,10,30,41.7,20.93
Neopomacentrus_filamentosus,1,0,M,M,11,12,41.7,22.69
Neopomacentrus_fuliginosus,1,0,M,M,11,10,46.8,22.69
Neopomacentrus_metallicus,1,0,S,S,8.67,10,40,14.62
Neopomacentrus_miryae,1,0,M,M,11,25,41.7,22.69
Neopomacentrus_nemurus,1,0,S,S,8,10,40.8,16.21
Neopomacentrus_sindensis,1,0,S,S,10,10,40.8,20.93
Neopomacentrus_sororius,1,0,S,S,9.25,14,33.6,15.85
Neopomacentrus_taeniurus,1,0,S,S,10,3,40,20.93
Neopomacentrus_violascens,1,0,S,S,7.5,30,48.2,15.01
Neopomacentrus_xanthurus,1,0,S,XS,6,15,40,12.47
Nexilosus_latifrons,2,0,L,XL,35.89,10,52.6,45.09
Parma_mccullochi,2,0,L,L,0,25,57.1,36.72
Parma_microlepis,2,0,L,L,17.79,30,52.6,30.23
Parma_occidentalis,2,0,M,M,0,15,54.5,29.45
Parma_oligolepis,2,0,L,L,21.4,20,57.1,33.09
Parma_victoriae,2,0,L,L,0,35,55.6,36.72
Plectroglyphidodon_dickii,2,1,M,M,11,15,54,22.69
Plectroglyphidodon_imparipennis,2,0,S,XS,6,15,44.4,12.47
Plectroglyphidodon_johnstonianus,2,0,M,M,14,18,55.6,25.07
Plectroglyphidodon_lacrymatus,2,1,S,S,10,40,55.6,20.93
Plectroglyphidodon_leucozonus,2,1,M,M,12,6,51.3,23.46
Plectroglyphidodon_phoenixensis,2,1,S,S,9,8,50,18.89
Plectroglyphidodon_randalli,2,0,S,S,9,4,50,18.89
Plectroglyphidodon_sagmarius,2,0,S,XS,5.92,18,52,11.53
Pomacentrus_adelus,2,1,S,S,8.5,8,52.6,17.13
Pomacentrus_albiaxillaris,1,0,S,S,0,15,51,16
Pomacentrus_albicaudatus,2,0,S,XS,6,12,50,12.47
Pomacentrus_alexanderae,0,0,S,S,9,60,48.8,18.89
Pomacentrus_alleni,1,0,S,XS,6,15,48.8,12.47
Pomacentrus_amboinensis,0,0,S,S,9,40,48.8,18.89
Pomacentrus_arabicus,1,0,M,M,14.07,6,58.8,26.28
Pomacentrus_aurifrons,1,0,S,S,7.95,14,38.6,15.01
Pomacentrus_auriventris,1,0,S,S,7.13,35,38.5,13.79
Pomacentrus_australis,2,0,S,S,8,35,41.7,16.21
Pomacentrus_baenschi,0,0,S,S,10,20,51.3,20.93
Pomacentrus_bankanensis,2,1,S,S,9,32,48.8,18.89
Pomacentrus_brachialis,0,0,S,S,9.43,40,52.6,20.99
Pomacentrus_burroughi,2,1,S,S,8.5,16,52.6,17.13
Pomacentrus_caeruleopunctatus,1,0,M,M,10.5,10,40,20.98
Pomacentrus_caeruleus,1,0,S,S,10,20,38.5,20.93
Pomacentrus_callainus,1,0,S,S,10,3,48.4,20.98
Pomacentrus_chrysurus,2,1,S,S,9,5,48.8,18.89
Pomacentrus_coelestis,0,0,S,S,9,20,39.2,18.89
Pomacentrus_flavioculus,0,0,S,S,0,30,50,20
Pomacentrus_flavoaxillaris,1,0,S,S,0,20,51,16
Pomacentrus_geminospilus,1,0,S,S,8,20,46.7,15
Pomacentrus_grammorhynchus,2,1,M,M,11.36,12,52.6,23.12
Pomacentrus_imitator,0,0,M,M,11,15,54,22.69
Pomacentrus_lepidogenys,1,0,M,M,11.51,12,46.5,23.12
Pomacentrus_leptus,0,0,S,S,7,10,40,14.21
Pomacentrus_littoralis,2,1,M,M,11,5,53.3,21
Pomacentrus_maafu,0,0,S,S,0,15,49.5,
Pomacentrus_magniseptus,1,0,S,S,0,12,52.1,17
Pomacentrus_melanochir,1,0,S,S,7.5,8,46.1,15.01
Pomacentrus_micronesicus,1,0,S,S,7.45,20,40.2,
Pomacentrus_milleri,0,0,S,S,9.63,6,47.6,19.23
Pomacentrus_moluccensis,1,0,S,S,9,14,48.8,24.71
Pomacentrus_nagasakiensis,1,0,M,M,11,35,48.8,22.69
Pomacentrus_nigriradiatus,1,0,S,S,0,20,49,17
Pomacentrus_nigromanus,0,0,S,S,9,60,47.6,18.89
Pomacentrus_nigromarginatus,0,0,S,S,8,50,47.6,16.21
Pomacentrus_pavo,0,0,M,M,11.58,18,40,22.08
Pomacentrus_philippinus,0,0,M,M,10.58,12,51.2,23.43
Pomacentrus_reidi,0,0,S,S,9,70,52.6,18.89
Pomacentrus_similis,1,0,S,S,7,15,40,14.21
Pomacentrus_smithi,1,0,S,S,7,14,46.5,14.21
Pomacentrus_spilotoceps,0,0,S,S,8.38,5,50,20.98
Pomacentrus_stigma,0,0,M,M,13,15,52.6,24.47
Pomacentrus_sulfureus,0,0,M,M,11,5,48.8,22.69
Pomacentrus_taeniometopon,2,0,M,M,12,8,51.3,23.46
Pomacentrus_trichrourus,1,0,M,M,11,43,51.3,22.69
Pomacentrus_trilineatus,0,1,S,S,10,4,50,20.93
Pomacentrus_tripunctatus,2,1,S,S,9.23,3,52.6,19.23
Pomacentrus_vaiuli,2,1,M,M,10.54,45,50,23.43
Pomacentrus_vatosoa,1,0,S,S,0,20,48.6,10
Pomacentrus_wardi,2,1,S,S,9.88,20,51.3,24.98
Pomacentrus_xanthosternus,0,0,S,S,10,8,50,20.93
Pomachromis_fuscidorsalis,1,0,S,S,7.81,18,35.7,14.62
Pomachromis_richardsoni,1,0,S,S,7.3,25,38.5,14.62
Premnas_biaculeatus,1,0,L,L,17,16,47.6,28.25
Pristotis_cyanostigma,1,0,M,M,11,10,38.9,21
Pristotis_obtusirostris,1,0,M,M,14,80,37.7,16.54
Similiparma_hermani,0,0,L,L,20.33,20,54,32.51
Similiparma_lurida,0,0,L,L,15,25,48.8,26.31
Stegastes_acapulcoensis,2,1,L,L,17,16,52.6,12.86
Stegastes_adustus,2,1,L,L,15,3,50,26.31
Stegastes_albifasciatus,2,1,M,M,13,4,50,24.47
Stegastes_altus,2,0,L,L,15,20,52.6,26.31
Stegastes_apicalis,2,1,L,L,15,5,58.8,26.31
Stegastes_arcifrons,2,1,L,L,16.35,20,51.3,18.69
Stegastes_aureus,2,1,M,M,11,5,46.5,22.69
Stegastes_beebei,2,1,L,L,18.61,5,55,20.44
Stegastes_diencaeus,2,0,M,M,12.5,45,50,24.15
Stegastes_emeryi,2,1,S,S,10,18,51,20.93
Stegastes_fasciolatus,2,1,L,L,16.5,30,51,25.86
Stegastes_flavilatus,2,0,M,M,12.35,10,52.6,10.74
Stegastes_fuscus,2,1,M,M,12.6,15,48.8,24.15
Stegastes_gascoynei,2,1,L,L,15,30,51.2,26.31
Stegastes_imbricatus,2,0,M,M,11.75,25,50,24.92
Stegastes_insularis,2,1,M,M,11,10,48,22.69
Stegastes_leucostictus,2,1,L,L,17.5,10,44.4,20.93
Stegastes_limbatus,2,1,L,L,19.69,2,54,31.62
Stegastes_lividus,2,1,M,M,11,5,52,22.69
Stegastes_nigricans,2,1,M,M,14,12,51,12.75
Stegastes_obreptus,2,1,L,L,15.09,10,51.3,27.68
Stegastes_otophorus,2,0,M,M,13,3,46.5,24.47
Stegastes_partitus,2,1,S,S,10,100,48.8,20.93
Stegastes_pelicieri,2,1,M,M,14,20,52.6,25.07
Stegastes_pictus,2,1,S,S,9.86,10,46.5,19.23
Stegastes_planifrons,2,1,M,M,13,30,52.6,23.52
Stegastes_punctatus,2,1,L,L,16.05,5,51.3,29.45
Stegastes_rectifraeneum,2,1,M,M,13.5,10,50,12.54
Stegastes_rocasensis,2,1,M,M,10.87,10,47.6,22.08
Stegastes_sanctipauli,2,1,M,M,11.6,35,50,23.12
Stegastes_variabilis,2,0,M,M,12.5,60,47.6,24.15
Teixeirichthys_jordani,1,0,M,M,14.00,30,47.6,33.32