Species_List,Diet ( I=0 P=1 B=2),DietEcotype,Farming,SIZE 3state,SIZE 5state,MaxSizeTL,BodyDepth
Abudefduf_abdominalis,0,I,0,L,XL,30,55.6
Abudefduf_bengalensis,2,B,0,L,L,17,55.5
Abudefduf_caudobimaculatus,0,I,0,L,L,17.55,56.6
Abudefduf_concolor,2,B,0,L,L,19,54
Abudefduf_conformis,0,I,0,L,L,17.03,55.6
Abudefduf_declivifrons,2,B,0,L,XL,22.14,55
Abudefduf_hoefleri,0,I,0,L,L,20,54
Abudefduf_lorenzi,0,I,0,L,L,18,55.6
Abudefduf_margariteus,0,I,0,L,XL,22.19,52.6
Abudefduf_natalensis,2,B,0,L,L,17,57
Abudefduf_nigrimargo,1,P,0,L,L,15.6,60
Abudefduf_notatus,2,B,0,L,L,17,55.6
Abudefduf_saxatilis,0,I,0,L,XL,22.9,58
Abudefduf_septemfasciatus,2,B,0,L,XL,23,55.6
Abudefduf_sexfasciatus,0,I,0,L,L,19,52.6
Abudefduf_sordidus,2,B,0,L,XL,24,60.6
Abudefduf_sparoides,1,P,0,L,L,16,57.1
Abudefduf_taurus,2,B,0,L,XL,25,52.6
Abudefduf_troschelii,0,I,0,L,L,20,55.6
Abudefduf_vaigiensis,0,I,0,L,L,20,60.6
Abudefduf_whitleyi,0,I,0,L,L,19.34,55.6
Acanthochromis_polyacanthus,0,I,0,M,M,14,55.6
Altrichthys_alelia,0,I,0,S,S,7.5,58
Altrichthys_azurelineatus,0,I,0,S,S,9.29,57.1
Altrichthys_curatus,1,P,0,S,XS,6.5,52
Amblyglyphidodon_aureus,1,P,0,M,M,13,62.5
Amblyglyphidodon_batunaorum,0,I,0,S,S,10,52
Amblyglyphidodon_curacao,0,I,0,M,M,11,60.1
Amblyglyphidodon_flavilatus,0,I,0,S,S,10,60.1
Amblyglyphidodon_flavopurpureus,1,P,0,L,L,15.6,53
Amblyglyphidodon_indicus,0,I,0,M,M,11.2,62
Amblyglyphidodon_leucogaster,1,P,0,M,M,13,60.1
Amblyglyphidodon_melanopterus,1,P,0,M,M,11,64
Amblyglyphidodon_orbicularis,1,P,0,M,M,11.29,66
Amblyglyphidodon_silolona,1,P,0,M,M,12.5,56
Amblyglyphidodon_ternatensis,1,P,0,M,M,14.39,58.8
Amblypomacentrus_annulatus,0,I,0,S,S,8,48.8
Amblypomacentrus_breviceps,1,P,0,S,S,8.5,45.4
Amblypomacentrus_clarus,1,P,0,S,XS,6,39
Amblypomacentrus_kuiteri,1,P,0,S,S,7.5,45
Amblypomacentrus_tricinctus,0,I,0,S,XS,6,44.4
Amphiprion_akallopisos,2,B,0,M,M,13.33,43.5
Amphiprion_akindynos,0,I,0,M,M,12.99,52.6
Amphiprion_allardi,1,P,0,L,L,15,52.6
Amphiprion_barberi,1,P,0,M,M,10.73,56
Amphiprion_biaculeatus,1,P,0,L,L,17,47.6
Amphiprion_bicinctus,1,P,0,M,M,14,54
Amphiprion_chagosensis,1,P,0,M,M,11,54
Amphiprion_chrysogaster,1,P,0,L,L,15,50
Amphiprion_chrysopterus,1,P,0,L,L,17,54
Amphiprion_clarkii,0,I,0,L,L,20.49,54
Amphiprion_ephippium,0,I,0,M,M,14,54
Amphiprion_frenatus,1,P,0,M,M,14,52.6
Amphiprion_latezonatus,1,P,0,M,M,14,54
Amphiprion_latifasciatus,1,P,0,M,M,13,55.6
Amphiprion_leucokranos,1,P,0,M,M,12,46.5
Amphiprion_mccullochi,1,P,0,M,M,12,54
Amphiprion_melanopus,1,P,0,M,M,12,55.6
Amphiprion_nigripes,1,P,0,M,M,11,47.6
Amphiprion_ocellaris,1,P,0,M,M,11,44.4
Amphiprion_omanensis,1,P,0,M,M,14,50
Amphiprion_pacificus,1,P,0,S,XS,5.96,46
Amphiprion_percula,1,P,0,M,M,11,44.4
Amphiprion_perideraion,1,P,0,S,S,10,41.7
Amphiprion_polymnus,1,P,0,M,M,13,44.4
Amphiprion_rubrocinctus,1,P,0,M,M,12,55.6
Amphiprion_sandaracinos,1,P,0,M,M,14,43.5
Amphiprion_sebae,1,P,0,L,L,16,48.7
Amphiprion_tricinctus,1,P,0,M,M,12,54
Azurina_atrilobata,1,P,0,M,M,13.4,40
Azurina_brevirostris,1,P,0,S,S,9.21,61
Azurina_cyanea,1,P,0,L,L,15,37.7
Azurina_elerae,1,P,0,S,S,7,54
Azurina_hirundo,1,P,0,L,L,17.14,27.4
Azurina_lepidolepis,1,P,0,S,S,9,48.8
Azurina_multilineata,1,P,0,L,L,20,37.7
Cheiloprion_labiatus,2,B,0,S,S,7.33,55.6
Chromis_abyssicola,1,P,0,M,M,16.25,48
Chromis_abyssus,1,P,0,M,M,13.19,55
Chromis_albicauda,1,P,0,L,L,18.54,50
Chromis_albomaculata,1,P,0,L,L,19.61,55.6
Chromis_alpha,1,P,0,M,M,11.97,52.6
Chromis_alta,1,P,0,L,L,16.17,50
Chromis_anadema,1,P,0,M,M,11.6,46.3
Chromis_analis,1,P,0,L,L,17,54
Chromis_atripectoralis,1,P,0,M,M,12,48.8
Chromis_bowesi,1,P,0,S,S,10.66,67
Chromis_cadenati,1,P,0,L,XL,21.51,41.7
Chromis_chromis,1,P,0,L,XL,25,43.5
Chromis_chrysura,1,P,0,L,L,18.52,58.8
Chromis_cinerascens,1,P,0,M,M,13,48.8
Chromis_circumaurea,1,P,0,M,M,13.25,58
Chromis_crusma,1,P,0,L,L,18.13,50
Chromis_degruyi,1,P,0,M,M,10.66,52
Chromis_dispila,1,P,0,L,XL,27.3,43.7
Chromis_earina,1,P,0,S,S,8.96,50
Chromis_enchrysura,1,P,0,S,S,10,42.6
Chromis_flavapicis,1,P,0,M,M,13.34,54.7
Chromis_flavaxilla,1,P,0,S,S,7.2,45.1
Chromis_fumea,1,P,0,M,M,13.07,45.4
Chromis_gunting,1,P,0,S,S,10.01,47.6
Chromis_hangganan,1,P,0,S,S,7.54,50
Chromis_hypsilepis,1,P,0,L,L,16,45
Chromis_insolata,1,P,0,L,L,16,47.6
Chromis_katoi,1,P,0,M,M,13.65,50.7
Chromis_kennensis,1,P,0,L,L,16,46.5
Chromis_klunzingeri,0,I,0,S,S,8.45,57.1
Chromis_limbata,1,P,0,L,L,16.24,48.8
Chromis_limbaughi,1,P,0,M,M,11.3,50
Chromis_lubbocki,1,P,0,M,M,12.5,33
Chromis_mamatapara,1,P,0,M,M,12.5,35
Chromis_mirationis,1,P,0,M,M,13.77,50
Chromis_nitida,1,P,0,S,S,8.88,44.4
Chromis_notata,1,P,0,L,L,17,47.6
Chromis_okamurai,1,P,0,M,M,11.81,50
Chromis_opercularis,0,I,0,L,L,17,45.4
Chromis_ovalis,1,P,0,L,L,19.5,46.7
Chromis_pamae,1,P,0,M,M,13.52,37.3
Chromis_pelloura,1,P,0,M,M,14,51.3
Chromis_pembae,0,I,0,M,M,13,52.6
Chromis_punctipinnis,1,P,0,L,XL,34.39,40
Chromis_randalli,1,P,0,L,L,15,41.7
Chromis_scotochiloptera,1,P,0,L,L,16,54.4
Chromis_sanctahelenae,1,P,0,M,M,13,45
Chromis_scotti,1,P,0,S,S,10,52.7
Chromis_ternatensis,1,P,0,M,M,10.5,54.1
Chromis_tingting,1,P,0,M,M,12.87,51.3
Chromis_vanbebberae,1,P,0,S,S,10.3,51.8
Chromis_verater,1,P,0,L,L,19.9,51.3
Chromis_viridis,1,P,0,S,S,10,48.8
Chromis_weberi,1,P,0,M,M,13.5,45.4
Chromis_woodsi,1,P,0,S,S,9.5,52.6
Chromis_xanthochira,1,P,0,M,M,14,47.6
Chromis_xanthopterygia,1,P,0,M,M,11.5,44.4
Chromis_xanthura,1,P,0,L,L,17,45.4
Chromis_yamakawai,1,P,0,L,L,17.03,44.6
Chrysiptera_biocellata,2,B,1,M,M,12.5,42.6
Chrysiptera_brownriggii,2,B,1,S,S,8,41.7
Chrysiptera_burtjonesi,1,P,0,S,XS,6.24,47.2
Chrysiptera_caeruleolineata,0,I,0,S,XS,6,40
Chrysiptera_caesifrons,1,P,0,S,XS,6.37,41.6
Chrysiptera_chrysocephala,1,P,0,S,XS,6.41,35.1
Chrysiptera_cyanea,0,I,0,S,S,8.5,43.5
Chrysiptera_ellenae,1,P,0,S,S,7.54,52.6
Chrysiptera_flavipinnis,0,I,0,S,S,8,41.7
Chrysiptera_galba,0,I,0,S,S,9.6,37
Chrysiptera_giti,1,P,0,S,XS,4.68,48.1
Chrysiptera_glauca,2,B,1,M,M,11.5,44.4
Chrysiptera_hemicyanea,1,P,0,S,S,7,48.8
Chrysiptera_leucopoma,2,B,1,S,S,8,41.6
Chrysiptera_maurinae,1,P,0,S,XS,6.5,50
Chrysiptera_oxycephala,1,P,0,S,S,9,51.3
Chrysiptera_papuensis,1,P,0,S,XS,5.85,52.3
Chrysiptera_parasema,0,I,0,S,S,7,48.8
Chrysiptera_rapanui,1,P,0,S,S,7.15,37.2
Chrysiptera_rex,2,B,0,S,S,7,39.2
Chrysiptera_rollandi,0,I,0,S,S,7.5,46.5
Chrysiptera_sinclairi,1,P,0,S,XS,6.5,43.9
Chrysiptera_springeri,0,I,0,S,XS,5.5,50
Chrysiptera_starcki,1,P,0,S,S,8.61,42.6
Chrysiptera_talboti,0,I,0,S,XS,6,44.4
Chrysiptera_taupou,0,I,0,S,S,8,43.5
Chrysiptera_traceyi,0,I,0,S,XS,5.58,46.5
Chrysiptera_unimaculata,2,B,1,S,S,10,44.4
Chrysiptera_uswanasi,1,P,0,S,XS,5.85,50
Dascyllus_abudafur,0,I,0,S,S,7.74,62.5
Dascyllus_albisella,1,P,0,M,M,13,62.5
Dascyllus_aruanus,0,I,0,S,S,10,62.5
Dascyllus_carneus,0,I,0,S,S,7,64.5
Dascyllus_flavicaudus,1,P,0,M,M,12,66.7
Dascyllus_marginatus,1,P,0,S,XS,6,69
Dascyllus_melanurus,0,I,0,S,S,8,64.5
Dascyllus_reticulatus,0,I,0,S,S,9,64.5
Dascyllus_strasburgi,1,P,0,M,M,11.11,62.5
Dascyllus_trimaculatus,0,I,0,M,M,14,66.7
Dischistodus_chrysopoecilus,2,B,1,L,L,15,49.5
Dischistodus_melanotus,2,B,1,L,L,16,48.8
Dischistodus_perspicillatus,2,B,1,L,L,18,45.4
Dischistodus_prosopotaenia,2,B,1,L,L,18.5,45.4
Dischistodus_pseudochrysopoecilus,2,B,1,L,L,18,46.5
Hemiglyphidodon_plagiometopon,2,B,1,L,L,18,52.6
Hypsypops_rubicundus,2,B,1,L,XL,36.28,54
Lepidozygus_tapeinosoma,1,P,0,M,M,10.5,34
Mecaenichthys_immaculatus,2,B,0,L,L,15.6,52.6
Microspathodon_bairdii,2,B,1,L,XL,30.45,54
Microspathodon_chrysurus,2,B,1,L,XL,21,54
Microspathodon_dorsalis,2,B,1,L,XL,45.46,54
Neoglyphidodon_bonang,2,B,0,L,L,17.55,60.5
Neoglyphidodon_carlsoni,0,I,0,M,M,12.58,50
Neoglyphidodon_melas,2,B,0,L,L,18,57.1
Neoglyphidodon_nigroris,2,B,1,M,M,13,54
Neoglyphidodon_oxyodon,2,B,0,L,L,15,50
Neoglyphidodon_polyacanthus,0,I,0,L,L,15.35,50
Neoglyphidodon_thoracotaeniatus,0,I,0,M,M,13.5,55.6
Neopomacentrus_aktites,1,P,0,S,S,8.04,42.7
Neopomacentrus_anabatoides,1,P,0,M,M,10.5,40
Neopomacentrus_aquadulcis,1,P,0,S,XS,6.5,41
Neopomacentrus_azysron,1,P,0,S,S,7.5,37.7
Neopomacentrus_bankieri,1,P,0,S,S,8,41.7
Neopomacentrus_cyanomos,1,P,0,S,S,10,41.7
Neopomacentrus_filamentosus,1,P,0,M,M,11,41.7
Neopomacentrus_fuliginosus,1,P,0,M,M,11,46.8
Neopomacentrus_metallicus,1,P,0,S,S,8.67,40
Neopomacentrus_miryae,1,P,0,M,M,11,41.7
Neopomacentrus_nemurus,1,P,0,S,S,8,40.8
Neopomacentrus_sindensis,1,P,0,S,S,10,40.8
Neopomacentrus_sororius,1,P,0,S,S,9.25,33.6
Neopomacentrus_taeniurus,1,P,0,S,S,10,40
Neopomacentrus_violascens,1,P,0,S,S,7.5,48.2
Neopomacentrus_xanthurus,1,P,0,S,XS,6,40
Nexilosus_latifrons,2,B,0,L,XL,35.89,52.6
Parma_alboscapularis,2,B,0,L,XL,24,56
Parma_mccullochi,2,B,0,L,XL,26,57.1
Parma_microlepis,2,B,0,L,L,17.79,52.6
Parma_occidentalis,2,B,0,L,L,16.9,54.5
Parma_oligolepis,2,B,0,L,XL,21.4,57.1
Parma_victoriae,2,B,0,L,XL,26,55.6
Plectroglyphidodon_altus,2,B,0,L,L,15,52.6
Plectroglyphidodon_apicalis,2,B,1,L,L,15,58.8
Plectroglyphidodon_aureus,2,B,1,M,M,11,46.5
Plectroglyphidodon_dickii,2,B,1,M,M,11,54
Plectroglyphidodon_emeryi,2,B,1,S,S,10,51
Plectroglyphidodon_fasciolatus,2,B,1,L,L,16.5,51
Plectroglyphidodon_gascoynei,2,B,1,L,L,15,51.2
Plectroglyphidodon_imparipennis,2,B,0,S,XS,6,44.4
Plectroglyphidodon_insularis,2,B,1,M,M,11,48
Plectroglyphidodon_johnstonianus,2,B,0,M,M,14,55.6
Plectroglyphidodon_leucozonus,2,B,1,M,M,12,51.3
Plectroglyphidodon_luteobrunneus,2,B,1,L,L,16.5,51
Plectroglyphidodon_marginatus,2,B,1,M,M,11.5,46
Plectroglyphidodon_obreptus,2,B,1,L,L,15.09,51.3
Plectroglyphidodon_phoenixensis,2,B,1,S,S,9,50
Plectroglyphidodon_randalli,2,B,0,S,S,9,50
Plectroglyphidodon_sagmarius,2,B,0,S,XS,5.92,52
Pomacentrus_adelus,2,B,1,S,S,8.5,52.6
Pomacentrus_albiaxillaris,1,P,0,S,S,9.1,51
Pomacentrus_albicaudatus,2,B,0,S,XS,6,50
Pomacentrus_alexanderae,0,I,0,S,S,9,48.8
Pomacentrus_alleni,1,P,0,S,XS,6,48.8
Pomacentrus_amboinensis,0,I,0,S,S,9,48.8
Pomacentrus_aquilus,1,P,0,M,M,12,55
Pomacentrus_arabicus,1,P,0,M,M,14.07,58.8
Pomacentrus_armillatus,2,B,1,S,S,8,46
Pomacentrus_aurifrons,1,P,0,S,S,7.95,38.6
Pomacentrus_auriventris,1,P,0,S,S,7.13,38.5
Pomacentrus_australis,2,B,0,S,S,8,41.7
Pomacentrus_baenschi,0,I,0,S,S,10,51.3
Pomacentrus_bangladeshius,2,B,1,S,S,7.5,53
Pomacentrus_bankanensis,2,B,1,S,S,9,48.8
Pomacentrus_brachialis,0,I,0,S,S,9.43,52.6
Pomacentrus_burroughi,2,B,1,S,S,8.5,52.6
Pomacentrus_caeruleopunctatus,1,P,0,M,M,10.5,40
Pomacentrus_caeruleus,1,P,0,S,S,10,38.5
Pomacentrus_callainus,1,P,0,S,S,10,48.4
Pomacentrus_chrysurus,2,B,1,S,S,9,48.8
Pomacentrus_coelestis,0,I,0,S,S,9,39.2
Pomacentrus_flavioculus,0,I,0,M,M,11.31,50
Pomacentrus_flavoaxillaris,1,P,0,S,S,9.49,51
Pomacentrus_geminospilus,0,I,0,S,S,8,46.7
Pomacentrus_grammorhynchus,2,B,1,M,M,11.36,52.6
Pomacentrus_imitator,0,I,0,M,M,11,54
Pomacentrus_lepidogenys,1,P,0,M,M,11.51,46.5
Pomacentrus_leptus,0,I,0,S,S,7,40
Pomacentrus_littoralis,2,B,1,M,M,11,53.3
Pomacentrus_maafu,0,I,0,S,S,8.58,49.5
Pomacentrus_magniseptus,1,P,0,S,S,9.88,52.1
Pomacentrus_melanochir,1,P,0,S,S,7.5,46.1
Pomacentrus_micronesicus,1,P,0,S,S,7.45,40.2
Pomacentrus_microspilus,1,P,0,S,S,7.8,49
Pomacentrus_milleri,0,I,0,S,S,9.63,47.6
Pomacentrus_moluccensis,1,P,0,S,S,9,48.8
Pomacentrus_nagasakiensis,1,P,0,M,M,11,48.8
Pomacentrus_nigriradiatus,1,P,0,S,S,9.62,49
Pomacentrus_nigromanus,0,I,0,S,S,9,47.6
Pomacentrus_nigromarginatus,0,I,0,S,S,8,47.6
Pomacentrus_pavo,0,I,0,M,M,11.58,40
Pomacentrus_philippinus,0,I,0,M,M,10.58,51.2
Pomacentrus_reidi,0,I,0,S,S,9,52.6
Pomacentrus_similis,1,P,0,S,S,7,40
Pomacentrus_smithi,1,P,0,S,S,7,46.5
Pomacentrus_spilotoceps,0,I,0,S,S,8.38,50
Pomacentrus_stigma,0,I,0,M,M,13,52.6
Pomacentrus_sulfureus,0,I,0,M,M,11,48.8
Pomacentrus_taeniometopon,2,B,0,M,M,12,51.3
Pomacentrus_trichrourus,1,P,0,M,M,11,51.3
Pomacentrus_trilineatus,0,I,1,S,S,10,50
Pomacentrus_tripunctatus,2,B,1,S,S,9.23,52.6
Pomacentrus_vaiuli,2,B,1,M,M,10.54,50
Pomacentrus_vatosoa,1,P,0,S,XS,6.5,48.6
Pomacentrus_wardi,2,B,1,S,S,9.88,51.3
Pomacentrus_xanthosternus,0,I,0,S,S,10,50
Pomachromis_fuscidorsalis,1,P,0,S,S,7.81,35.7
Pomachromis_richardsoni,1,P,0,S,S,7.3,38.5
Pristotis_obtusirostris,1,P,0,M,M,14,37.7
Pycnochromis_abruptus,1,P,0,S,S,8.62,48
Pycnochromis_acares,1,P,0,S,XS,5.43,40
Pycnochromis_alleni,1,P,0,S,S,9.22,50
Pycnochromis_amboinensis,1,P,0,S,S,10,62.5
Pycnochromis_atripes,1,P,0,S,S,9,54
Pycnochromis_bami,1,P,0,M,M,7.61,52
Pycnochromis_caudalis,1,P,0,M,M,11.77,57.1
Pycnochromis_delta,1,P,0,S,S,7,51.3
Pycnochromis_dimidiatus,1,P,0,S,S,9,48.8
Pycnochromis_fatuhivae,1,P,0,S,S,9.43,50
Pycnochromis_fieldi,1,P,0,S,S,6.95,52
Pycnochromis_hanui,1,P,0,S,S,7.8,55.3
Pycnochromis_howsoni,1,P,0,S,S,8,48.2
Pycnochromis_iomelas,1,P,0,S,S,10.18,52.6
Pycnochromis_leucurus,1,P,0,S,S,8.5,47.5
Pycnochromis_lineata,1,P,0,S,S,7,42
Pycnochromis_margaritifer,0,I,0,S,S,9,51.3
Pycnochromis_nigrurus,1,P,0,S,XS,6,40.8
Pycnochromis_ovatiformis,1,P,0,S,S,10,60.6
Pycnochromis_pacifica,0,I,0,M,M,10.84,55.6
Pycnochromis_retrofasciatus,1,P,0,S,S,8.85,52.6
Pycnochromis_vanderbilti,1,P,0,S,XS,6,40
Similiparma_hermani,0,I,0,L,L,20.33,54
Similiparma_lurida,0,I,0,L,L,15,48.8
Stegastes_acapulcoensis,2,B,1,L,L,17,52.6
Stegastes_adustus,2,B,1,L,L,15,50
Stegastes_albifasciatus,2,B,1,M,M,13,50
Stegastes_arcifrons,2,B,1,L,L,16.35,51.3
Stegastes_baldwini,2,B,1,S,S,10,47.2
Stegastes_beebei,2,B,1,L,L,18.61,55
Stegastes_diencaeus,2,B,1,M,M,12.5,50
Stegastes_flavilatus,2,B,0,M,M,12.35,52.6
Stegastes_fuscus,2,B,1,M,M,12.6,48.8
Stegastes_imbricatus,2,B,0,M,M,11.75,50
Stegastes_lacrymatus,2,B,1,S,S,10,55.6
Stegastes_leucostictus,2,B,1,L,L,17.5,44.4
Stegastes_limbatus,2,B,1,L,L,19.69,54
Stegastes_lividus,2,B,1,M,M,11,52
Stegastes_nigricans,2,B,1,M,M,14,51
Stegastes_otophorus,2,B,0,M,M,13,46.5
Stegastes_partitus,2,B,0,S,S,10,48.8
Stegastes_pelicieri,2,B,1,M,M,14,52.6
Stegastes_pictus,2,B,1,S,S,9.86,46.5
Stegastes_planifrons,2,B,1,M,M,13,52.6
Stegastes_punctatus,2,B,1,L,L,16.05,51.3
Stegastes_rectifraenum,2,B,1,M,M,13.5,50
Stegastes_rocasensis,2,B,1,M,M,10.87,47.6
Stegastes_sanctipauli,2,B,1,M,M,11.6,50
Stegastes_variabilis,2,B,0,M,M,12.5,47.6
Stegastes_xanthurus,2,B,0,M,M,12.5,47.6
Teixeirichthys_jordani,1,P,0,M,M,14,47.6